STD_YM,BLOCK_CD,X_COORD,Y_COORD,FLOW_POP_CNT_MON,FLOW_POP_CNT_TUS,FLOW_POP_CNT_WED,FLOW_POP_CNT_THU,FLOW_POP_CNT_FRI,FLOW_POP_CNT_SAT,FLOW_POP_CNT_SUN
202001,3.60304E+19,1000033.992,1666179.147,8.32,8.92,8.93,9.62,8.49,5.74,4.43
202001,3.60304E+19,1000033.992,1666229.147,13.17,14.11,13.63,14.94,13.44,9.41,7.35
202001,3.60304E+19,1000033.992,1666279.147,1.75,1.89,2.19,2.15,1.87,1.66,1.25
202001,3.60304E+19,1000033.992,1666329.147,0.94,0.92,0.92,1.01,0.97,0.83,0.65
202001,3.60304E+19,1000033.992,1666629.147,0.34,0.37,0.34,0.39,0.32,0.14,0.14
202001,3.60304E+19,1000033.992,1666679.147,0.35,0.39,0.39,0.42,0.37,0.28,0.26
202001,3.60304E+19,1000033.992,1666729.147,1.25,1.38,1.34,1.45,1.31,1.04,1.04
202001,3.60304E+19,1000033.992,1666829.147,0.41,0.44,0.42,0.48,0.41,0.25,0.23
202001,3.60304E+19,1000033.992,1668029.147,0.07,0.07,0.05,0.07,0.07,0,0
202001,3.60304E+19,1000033.992,1668079.147,0.19,0.21,0.18,0.23,0.19,0,0
202001,3.60304E+19,1000033.992,1672929.147,3.44,2.75,3.88,3.62,6.66,9.66,7.63
202001,3.60304E+19,1000033.992,1672979.147,5.49,4.4,5.86,5.3,8.95,15.04,13.49
202001,3.60304E+19,1000033.992,1673029.147,6.5,5.19,6.62,6.46,10.29,15.1,12.96
202001,3.60304E+19,1000033.992,1673079.147,3.62,2.93,2.68,3.81,3.32,0.88,0.69
202001,3.60304E+19,1000033.992,1673129.147,15.87,12.68,10.47,15.75,12.78,0.25,0.21
202001,3.60304E+19,1000033.992,1673179.147,241.47,196.2,241.72,254.74,375.99,454.27,359.4
202001,3.60304E+19,1000033.992,1673229.147,241.47,196.2,241.72,254.74,375.99,454.27,359.4
202001,3.60304E+19,1000033.992,1673479.147,77.11,61.68,66.92,73.95,94.24,111.93,101.18
202001,3.60304E+19,1000033.992,1673529.147,53.06,43.09,49.46,54.99,72.22,77.8,63.16
202001,3.60304E+19,1000033.992,1677929.147,0.16,0.16,0.12,0.16,0.14,0.02,0.02
202001,3.60304E+19,1000033.992,1677979.147,0.16,0.14,0.12,0.16,0.14,0.02,0.02
202001,3.60304E+19,1000033.992,1678479.147,0.48,0.37,0.28,0.41,0.35,0.02,0.02
202001,3.60304E+19,1000033.992,1679279.147,37.65,28.38,32.23,31.18,40.35,59.05,60.62
202001,3.63303E+19,1000033.992,1682929.147,0.21,0.19,0.11,0.09,0.3,0.34,0.19
202001,3.63303E+19,1000033.992,1683779.147,1.89,2.22,2.12,1.68,2.81,4.03,2.88
202001,3.63303E+19,1000033.992,1684679.147,0.25,0.28,0.18,0.21,0.25,0.02,0.02
202001,3.63303E+19,1000033.992,1684729.147,0.25,0.28,0.18,0.21,0.25,0.02,0.02
202001,3.63303E+19,1000033.992,1687279.147,0.55,0.72,0.71,0.69,0.92,1.31,0.74
202001,3.63303E+19,1000033.992,1687429.147,0.64,0.83,0.81,0.79,1.06,1.55,0.88
202001,3.63303E+19,1000033.992,1687579.147,0.02,0.02,0.02,0.02,0.04,0.04,0.04
202001,3.63303E+19,1000033.992,1688129.147,6.67,6.89,6.75,7.5,8.76,11.07,7.8
202001,3.63303E+19,1000033.992,1688179.147,3.85,3.87,3.83,4.27,5.26,6.87,4.84
202001,3.63303E+19,1000033.992,1688229.147,3.43,3.62,3.55,3.88,4.43,5.77,4.08
